,chromosome,start,end
MTND1P12,Y,11445418,11445564
MXRA5Y,Y,11957208,11987386
NAP1L1P2,Y,2929001,2931120
NLGN4Y,Y,14522573,14845654
NLGN4Y-AS1,Y,14793642,14804033
OFD1P3Y,Y,9030594,9039988
OFD1P6Y,Y,18674033,18738089
P2RY8,Y,1462581,1537185
PABPC1P5,Y,11335627,11337693
PARP4P1,Y,26594851,26634652
PCDH11Y,Y,5000226,5742224
PLCXD1,Y,276322,303356
PPP1R12BP1,Y,26277923,26354418
PPP2R3B,Y,333933,386955
PRKY,Y,7274313,7371868
PRORY,Y,21382954,21386360
PSMA6P1,Y,13286638,13287378
RBMY2FP,Y,22310864,22321825
RBMY2XP,Y,24396604,24403526
RCC2P1,Y,11781052,11782527
RN7SKP282,Y,7324297,7324595
RN7SL702P,Y,12273473,12273764
RNA5-8SP6,Y,10200155,10200306
RNA5SP498,Y,1300256,1300375
RNA5SP519,Y,10092875,10092993
RNF19BPY,Y,3777997,3779546
RNU2-57P,Y,5019076,5019266
RNU6-1314P,Y,26360989,26361092
RPL14P5,Y,1008503,1010101
RPL26P37,Y,5793300,5793737
RPS24P1,Y,12244752,12245457
RPS4Y1,Y,2841602,2932000
RPS4Y2,Y,20756108,20781032
SEPTIN14P23,Y,25377557,25394719
SERBP1P2,Y,4801685,4802848
SHOX,Y,624344,659411
SLC25A6,Y,1386152,1392113
SLC9B1P1,Y,11340579,11385687
SNX18P1Y,Y,11178306,11178816
SNX3P1Y,Y,5634480,5634655
SRIP3,Y,6718962,6719180
TBL1Y,Y,6910686,7101970
TMSB4Y,Y,13703899,13706024
TPTE2P4,Y,26508213,26579690
TRPC6P1,Y,57171890,57172769
TSPY6P,Y,9507596,9510175
TTTY10,Y,20464916,20575519
TTTY13,Y,21565092,21605081
TTTY14,Y,18772706,19077555
TTTY2,Y,9717162,9758661
TTTY2B,Y,6406059,6462091
TTTY4,Y,22936455,22973284
TTTY4B,Y,24570202,24607025
TTTY4C,Y,25063083,25099892
TTTY8,Y,9691039,9701695
TTTY8B,Y,6462388,6473691
TTTY9B,Y,18581206,18598111
TUBB1P2,Y,17516836,17519038
TXLNGY,Y,19567382,19604120
UBE2Q2P4Y,Y,24232826,24238984
UBE2Q2P5Y,Y,25431156,25437315
USP9Y,Y,12537650,12860839
USP9YP21,Y,25933833,25935881
UTY,Y,13234577,13480673
VAMP7,Y,57067865,57130289
VDAC1P6,Y,5207215,5208069
WASH6P,Y,57207346,57212230
WASIR1,Y,57201135,57203405
ZBED1,Y,2486414,2500976
ZFY,Y,2935281,2982506
ZFY-AS1,Y,2966829,3002818
ZNF736P6Y,Y,8350931,8352143
ZNF736P9Y,Y,8068896,8070723
ZNF839P1,Y,18985175,18986398
AARSD1P1,X,74069276,74070832
ABCB7,X,75051048,75156732
ABCD1,X,153724856,153744755
ACAA2P1,X,48775993,48776970
ACE2,X,15494566,15607236
ACE2-DT,X,15602858,15621485
ACOT9,X,23701055,23766475
ACSL4,X,109624244,109733403
ACTBP1,X,46288016,46289128
ACTG1P10,X,53142832,53143913
ACTR3P2,X,68771322,68772578
ACTRT1,X,128050962,128052403
ADGRG2,X,18989307,19122637
ADGRG4,X,136300963,136416890
AFF2,X,148500617,149000663
AFF2-IT1,X,148546878,148547397
AGKP2,X,132130091,132131352
AGTR2,X,116170744,116174974
AIFM1,X,130124666,130165879
AKAP14,X,119895837,119920716
AKAP17BP,X,119249346,119257667
AKAP4,X,50190777,50201007
AKIRIN1P2,X,68132868,68133437
AKR1B1P8,X,116043483,116044418
AKR7A2P2,X,118877886,118879185
ALAS2,X,55009055,55030977
ALG13,X,111665811,111760649
ALG13-AS1,X,111706649,111711101
AMELX,X,11293413,11300761
AMER1,X,64185117,64205708
AMMECR1,X,110194186,110440318
AMMECR1-IT1,X,110305420,110307221
AMOT,X,112774503,112840831
AMZ2P3,X,27218131,27218678
ANAPC15P1,X,8856665,8857059
ANOS1,X,8528874,8732137
AP1M2P1,X,65469087,65470380
AP1S2,X,15825806,15854931
AP2B1P1,X,93222220,93225015
APEX2,X,55000363,55009057
API5P1,X,116106921,116108430
APLN,X,129645259,129654956
APOO,X,23833353,23907938
APOOL,X,85003877,85093315
AR,X,67544021,67730619
ARAF,X,47561205,47571908
ARHGAP36,X,131058346,131089885
ARHGAP4,X,153907367,153934999
ARHGAP6,X,11117651,11665920
ARHGEF6,X,136665547,136780932
ARHGEF9,X,63634967,63809274
ARHGEF9-IT1,X,63670196,63671502
ARL13A,X,100969708,100990831
ARL5AP1,X,119186442,119186829
ARL5AP5,X,76029895,76030330
ARMCX1,X,101550547,101554700
ARMCX2,X,101655281,101659850
ARMCX3,X,101622797,101627843
ARMCX3-AS1,X,101622983,101624164
ARMCX4,X,101418287,101533459
ARMCX5,X,102599168,102604159
ARMCX5-GPRASP2,X,102712495,102753530
ARMCX6,X,101615118,101618001
ARMCX7P,X,101597510,101598071
ARR3,X,70268305,70281840
ARSD,X,2903972,2929349
ARSD-AS1,X,2904904,2906081
ARSF,X,3041471,3112727
ARSH,X,3006546,3034111
ARSL,X,2934045,2968475
ARX,X,25003694,25016420
ASB11,X,15281697,15315640
ASB12,X,64224194,64230607
ASB9,X,15235288,15270467
ASS1P4,X,3367149,3368382
ASS1P5,X,115664895,115666133
ATF4P1,X,154622428,154623500
ATF4P2,X,154580926,154581998
ATG4A,X,108091668,108154671
ATG4AP1,X,82998699,82999236
ATP11C,X,139726346,139945276
ATP1B4,X,120362085,120383249
ATP2B3,X,153517642,153582939
ATP5MC2P4,X,42098754,42099173
ATP5MKP1,X,74173890,74174066
ATP6AP1,X,154428633,154436516
ATP6AP1-DT,X,154424377,154428549
ATP6AP2,X,40579372,40606848
ATP7A,X,77910690,78050395
ATRX,X,77504880,77786233
ATXN3L,X,13318647,13320053
AVPR2,X,153902531,153907166
AWAT1,X,70234655,70240659
AWAT2,X,70040542,70049938
B3GNT2P1,X,99886740,99887691
BAG1P1,X,38479215,38479913
BCAP31,X,153700492,153724565
BCLAF3,X,19912860,19991061
BCOR,X,40049815,40177329
BCORL1,X,129981107,130058071
BEND2,X,18162931,18220886
BEND7P1,X,102705784,102706240
BEX1,X,103062651,103064171
BEX2,X,103309346,103311007
BEX3,X,103376395,103378164
BEX4,X,103215108,103217246
BGN,X,153494980,153509546
BLOC1S2P1,X,64726748,64727048
BLOC1S6P1,X,18838709,18839452
BMI1P1,X,67791955,67792895
BMP15,X,50910735,50916641
BMP2KL,X,74185929,74187153
BMX,X,15464246,15556529
BRAFP1,X,75582676,75585506
BRCC3,X,155071420,155123077
BRDTP1,X,96337236,96337912
BRS3,X,136487947,136493780
BRWD3,X,80669503,80809877
BTF3P8,X,63766875,63767400
BTG3P1,X,128122734,128123496
BTK,X,101349338,101390796
BUD31P2,X,75201491,75201790
C4orf46P2,X,77962553,77962889
CA5B,X,15688830,15788411
CA5BP1,X,15681053,15703192
CACNA1F,X,49205063,49233371
CALM1P1,X,95499604,95500036
CAPN6,X,111245099,111270483
CAPZA1P1,X,88096393,88097225
CAPZA1P3,X,72727977,72728821
CASK,X,41514934,41923554
CASK-AS1,X,41520036,41522336
CBLL1P1,X,121024964,121026563
CBLL2,X,22272913,22274461
CBX1P1,X,63299247,63299673
CBX1P2,X,17099782,17100239
CCDC121P1,X,112381392,112382220
CCDC160,X,134237047,134246842
CCDC22,X,49235470,49250520
CCNB1IP1P3,X,94776739,94777567
CCNB3,X,50202713,50351914
CCNQ,X,153587925,153600045
CCNYL5,X,65821255,65822249
CCT4P2,X,65270913,65273019
CD40LG,X,136648158,136660390
CD99L2,X,150766336,150898816
CDK16,X,47217860,47229997
CDKL5,X,18425583,18653629
CDR1,X,140783578,140784366
CDX4,X,73447053,73455171
CENPI,X,101098188,101166126
CENPVL3,X,51617020,51618912
CETN2,X,152826994,152830757
CFAP47,X,35919734,36385317
CFP,X,47623172,47630305
CHCHD2P1,X,123785009,123785451
CHIC1,X,73563197,73687111
CHM,X,85861180,86047561
CHMP1B2P,X,80272065,80335227
CHMP5P1,X,46725164,46725818
CHP1P3,X,17705339,17705691
CHRDL1,X,110673856,110795819
CHST7,X,46573765,46598496
CHTF8P1,X,44633692,44635232
CITED1,X,72301638,72307187
CKS1BP6,X,30617454,30617693
CLCN4,X,10156975,10237660
CLCN5,X,49922596,50099235
CLDN2,X,106900164,106930861
CLDN34,X,9967358,9968352
CLDN7P1,X,40760104,40761270
CLIC2,X,155276211,155334657
CLIC4P3,X,41076999,41077750
CLTRN,X,15627318,15675012
CMC4,X,155061622,155071136
CNEP1R1P1,X,103651735,103652106
CNGA2,X,151734746,151745564
CNKSR2,X,21372801,21654695
CNOT7P1,X,69937166,69938017
COBLP1,X,118938153,118939134
COL4A5,X,108439838,108697545
COL4A6,X,108155607,108439497
COPS8P1,X,86798598,86799226
CORO1CP1,X,79369364,79370165
COX6CP12,X,68645326,68645527
COX7B,X,77899440,77907376
CPSF1P2,X,49911620,49912362
CPXCR1,X,88747225,88754785
CROCCP1,X,135432960,135438634
CSAG1,X,152727484,152733735
CSAG2,X,152708261,152721661
CSAG3,X,152753921,152760222
CSGALNACT2P1,X,100956593,100957538
CSGALNACT2P2,X,106327534,106327824
CSTF2,X,100820391,100841520
CT45A1,X,135713639,135723539
CT45A10,X,135881063,135893444
CT45A11P,X,135942478,135947139
CT45A2,X,135811668,135820012
CT45A3,X,135759846,135768191
CT45A5,X,135775852,135785503
CT45A6,X,135794685,135802787
CT45A7,X,135829229,135837280
CT45A8,X,135846497,135854538
CT45A9,X,135863418,135871812
CT47A12,X,120930250,120932301
CT47C1,X,119072993,119076765
CT55,X,135156540,135171398
CT83,X,116461686,116462976
CTAG1A,X,154585133,154586816
CTAG1B,X,154617609,154619282
CTAG2,X,154651972,154653579
CTDSPL2P1,X,100149783,100151340
CTDSPL2P2,X,106070481,106073202
CTHRC1P1,X,79177200,79177668
CTNNBL1P1,X,46418450,46420079
CTPS2,X,16587999,16712936
CUL4B,X,120505920,120604074
CXCR3,X,71615916,71618511
CXorf38,X,40626921,40647561
CXorf49,X,71714371,71718285
CXorf49B,X,71763349,71767204
CXorf58,X,23908006,23939509
CXorf65,X,71103889,71106788
CXorf66,X,139955728,139965521
CXXC1P1,X,47722331,47725932
CYBB,X,37780018,37813461
CYCSP44,X,145176582,145176894
CYCSP45,X,153841251,153841565
CYLC1,X,83861126,83886699
CYSLTR1,X,78271468,78327691
CYTH1P1,X,21939461,21940160
DACH2,X,86148451,86832604
DANT1,X,115840798,115908066
DANT2,X,115694493,115969214
DCAF12L1,X,126549383,126552814
DCAF12L2,X,126163499,126166289
DCAF8L1,X,27977992,27981449
DCAF8L2,X,27590344,27749942
DCX,X,111293779,111412429
DDX3P1,X,74121012,74131923
DDX3P2,X,74133004,74133114
DDX3X,X,41333348,41364472
DDX53,X,22999960,23003589
DENND10P1,X,130495159,130496232
DGAT2L6,X,70177483,70205704
DGKK,X,50365409,50470825
DIAPH2,X,96684712,97604997
DIAPH2-AS1,X,97431286,97642589
DIPK2B,X,45148373,45200901
DKC1,X,154762742,154777689
DLG3,X,70444835,70505490
DLG3-AS1,X,70452956,70456077
DLGAP5P2,X,93042490,93042942
DMD,X,31097677,33339609
DMD-AS3,X,32754940,32756400
DMRTC1,X,72872025,72943837
DMRTC1B,X,72776890,72848803
DNAAF6,X,107206611,107244247
DNAJA1P3,X,107351650,107352843
DNASE1L1,X,154401236,154412112
DOCK11,X,118495815,118686163
DPPA3P1,X,103961811,103962279
DPRXP6,X,40758483,40759050
DPRXP7,X,112319952,112320417
DRP2,X,101219769,101264502
DUSP21,X,44844021,44844888
DUSP9,X,153642492,153651326
DUTP4,X,149817170,149817644
DYNLT3,X,37836757,37847571
EBP,X,48521799,48528716
ECMXP,X,153479266,153486810
EDA,X,69616067,70039472
EDA2R,X,66595637,66639298
EEDP1,X,140397062,140398311
EEF1A1P15,X,98389512,98390919
EEF1A1P29,X,86160264,86161359
EEF1A1P30,X,120210461,120212680
EEF1A1P31,X,154908885,154919103
EEF1A1P40,X,107032248,107032820
EEF1B2P3,X,24788392,24789069
EEF1GP5,X,115702811,115704120
EFHC2,X,44147872,44343672
EFNB1,X,68829021,68842160
EGFL6,X,13569601,13633575
EIF1AX,X,20124525,20141838
EIF1AX-AS1,X,20139968,20140444
EIF2S3,X,24054946,24078810
EIF3JP1,X,82497669,82497924
EIF3MP1,X,82875649,82875885
EIF4A1P10,X,92113246,92114461
EIF4A2P4,X,52832704,52833899
EIF4BP7,X,111619677,111621489
EIF4BP9,X,66074835,66076347
EIF5P1,X,9818239,9819469
EIF5P2,X,19496378,19497721
ELF2P1,X,103910305,103911352
ELF4,X,130063955,130110716
ELK1,X,47635520,47650604
ELL2P4,X,146553728,146555765
EMD,X,154379273,154381574
ENOX2,X,130622325,130903234
EOLA1,X,149540355,149550510
EOLA1-DT,X,149527591,149540959
EOLA2,X,149929527,149938700
EOLA2-DT,X,149938613,150224580
ERAS,X,48826513,48830138
ERCC6L,X,72204657,72239027
ESX1,X,104250038,104254933
ETDA,X,135252061,135253583
ETDB,X,135118955,135120526
ETDC,X,135309480,135309659
ETF1P3,X,65794345,65795835
ETS2P1,X,135583651,135585160
EZHIP,X,51406948,51408843
F8,X,154835788,155026940
F8A1,X,154886355,154888061
F8A2,X,155382095,155383801
F8A3,X,155456914,155458620
F9,X,139530739,139563459
FAAH2,X,57286706,57489193
FABP5P15,X,77727867,77728080
FAM120C,X,54068324,54183281
FAM133A,X,93674013,93712274
FAM156A,X,52926402,52995472
FAM156B,X,52891306,52908560
FAM199X,X,104166453,104195902
FAM223A,X,154571248,154571960
FAM223B,X,154632470,154633182
FAM226B,X,72777608,72779097
FAM236A,X,72938163,72938958
FAM236C,X,72912615,72913401
FAM3A,X,154506159,154516242
FAM3C2P,X,23075758,23076767
FAM47A,X,34129752,34132314
FAM47B,X,34942796,34944915
FAM47C,X,37008366,37011664
FAM50A,X,154444141,154450654
FAM9A,X,8790795,8801383
FAM9B,X,9024232,9295682
FAM9C,X,13035617,13044682
FAM9CP1,X,11221348,11225731
FANCB,X,14690388,14873255
FATE1,X,151716035,151723194
FBLIM1P1,X,125326897,125328021
FDPSP5,X,44476027,44477422
FERP1,X,123603139,123603931
FGD1,X,54445454,54496234
FGF13,X,138614727,139222777
FGF13-AS1,X,138711452,138716617
FGF16,X,77447389,77457278
FHL1,X,136146702,136211359
FIRRE,X,131688779,131830928
FLICR,X,49262866,49270521
FLNA,X,154348524,154374634
FMN2P1,X,26496936,26505603
FMR1,X,147911919,147951125
FMR1-AS1,X,147891981,147911817
FMR1-IT1,X,147946941,147947583
FMR1NB,X,147981337,148026665
FNDC3CP,X,78165696,78172422
FOXN3P1,X,102546734,102548213
FOXN3P2,X,75888700,75888888
FOXO4,X,71095851,71103535
FOXP3,X,49250438,49264800
FOXR2,X,55623400,55626192
FRMD7,X,132076990,132128020
FRMD8P1,X,65550898,65552421
FRMPD3,X,107449652,107605255
FRMPD3-AS1,X,107493619,107547780
FRMPD4,X,11822423,12724523
FSIP2LP,X,130445085,130523536
FTH1P14,X,34147036,34147586
FTH1P19,X,37492021,37492548
FTH1P27,X,37505310,37505860
FTH1P8,X,148052233,148052746
FTHL17,X,31071233,31072041
FTLP2,X,30630298,30630825
FTSJ1,X,48476021,48486364
FTX,X,73940435,74293574
FUNDC1,X,44523639,44542859
FUNDC2,X,155025980,155060304
G6PD,X,154517825,154547572
GAB3,X,154675249,154751583
GABRA3,X,152166234,152451315
GABRE,X,151953124,151974680
GABRQ,X,152637895,152657542
GAGE1,X,49599020,49608538
GAGE10,X,49303646,49319841
GAGE12B,X,49529869,49529985
GAGE12C,X,49532177,49539538
GAGE12D,X,49541733,49549094
GAGE12E,X,49551289,49558645
GAGE12F,X,49551278,49568218
GAGE12H,X,49579949,49587301
GAGE12J,X,49322037,49329384
GAGE13,X,49331582,49338949
GAGE2A,X,49589496,49596824
GAGE2E,X,49341192,49345922
GAPDHP1,X,39787132,39788136
GAPDHP65,X,46439709,46440714
GAPDHP67,X,136077844,136078631
GATA1,X,48786540,48794311
GCNA,X,71578437,71613583
GDI1,X,154436913,154443467
GDPD2,X,70423031,70433390
GEMIN7P1,X,41472264,41472653
GEMIN8,X,14002474,14029893
GEMIN8P3,X,86304367,86305086
GJA6P,X,18535079,18536120
GJB1,X,71212811,71225516
GK,X,30653359,30731462
GK-AS1,X,30699998,30724174
GK-IT1,X,30671635,30672166
GK4P,X,101778969,101780538
GLA,X,101393273,101408012
GLOD5,X,48761747,48773648
GLRA2,X,14529298,14731812
GLRA4,X,103707224,103728203
GLUD1P9,X,111229889,111231061
GNL3L,X,54530183,54621521
GOT2P6,X,55961208,55962482
GOT2P7,X,11334233,11335901
GPC3,X,133535745,133987100
GPC4,X,133300103,133415489
GPKOW,X,49113407,49123735
GPM6B,X,13770939,13938638
GPR101,X,137023929,137033995
GPR119,X,130379449,130385674
GPR143,X,9725346,9786297
GPR173,X,53048789,53080615
GPR174,X,79144688,79175318
GPR34,X,41688973,41697275
GPR50,X,151176584,151181465
GPR50-AS1,X,151175175,151177836
GPR82,X,41724181,41730130
GPRASP1,X,102651092,102659083
GPRASP2,X,102712445,102717733
GPRASP3,X,102720688,102753540
GPX1P1,X,13378735,13379340
GRIA3,X,123184153,123490915
GRIPAP1,X,48973720,49002265
GRPEL2P2,X,64697878,64698547
GRPR,X,16123565,16153518
GSPT2,X,51743442,51746232
GTF3C6P1,X,95584303,95584942
GTF3C6P2,X,107131659,107132269
GUCY2F,X,109372906,109482086
GYG2,X,2828822,2882818
GYG2-AS1,X,2852740,2853760
H2AB1,X,154884972,154885558
H2AB2,X,155380709,155381299
H2AB3,X,155459415,155460005
H2AL3,X,37994272,37994904
H2AP,X,37990779,37991314
H2BP8,X,101989481,101989872
H2BP9,X,103904322,103904754
H2BW1,X,104011147,104013708
H2BW2,X,104039956,104042454
H3P43,X,28659065,28659469
H3P44,X,50905438,50905866
H3P45,X,102615473,102615820
H3P47,X,123514473,123514872
HADHBP1,X,5305714,5307128
HAUS1P2,X,18865771,18866554
HAUS7,X,153447668,153495516
HAX1P1,X,148198014,148198878
HCCS,X,11111301,11123086
HCCS-DT,X,10847543,11111284
HCFC1,X,153947557,153971818
HCFC1-AS1,X,153968886,153970087
HDAC6,X,48801377,48824982
HDAC8,X,72329516,72573101
HDGFL3P1,X,55054945,55055838
HDGFP1,X,131646639,131646890
HDX,X,84317874,84502479
HEPH,X,66162671,66268867
HIKESHIP1,X,23351013,23351450
HK2P1,X,80571871,80574607
HMGA1P1,X,26748029,26749090
HMGB1P12,X,111434427,111435024
HMGB1P15,X,50931114,50931548
HMGB1P16,X,36211096,36211635
HMGB1P32,X,98422138,98422809
HMGB3,X,150980509,150990771
HMGB3P30,X,112689915,112690520
HMGB3P31,X,134961711,134962305
HMGN1P33,X,9865093,9865543
HMGN1P35,X,69174124,69174717
HMGN1P37,X,154817099,154817401
HMGN2P48,X,153052150,153052413
HMGN5,X,81113699,81201913
HNRNPA1P25,X,74473017,74473953
HNRNPA1P26,X,100855288,100856379
HNRNPA1P27,X,100887636,100888590
HNRNPA1P28,X,119220782,119221742
HNRNPA3P3,X,140032344,140033480
HNRNPCP10,X,144840777,144841660
HNRNPDP1,X,64044305,64045058
HNRNPH1P2,X,143677153,143678362
HNRNPH2,X,101408222,101414133
HNRNPH3P1,X,80529037,80530027
HPRT1,X,134460165,134520513
HS6ST2,X,132626015,132961395
HS6ST2-AS1,X,132667642,132669888
HSD17B10,X,53431258,53434370
HSFX1,X,149774068,149776867
HSFX2,X,149592512,149595314
HSFX3,X,149548210,149549924
HSFX4,X,149929573,149931287
HSPA8P1,X,121203182,121205014
HSPA8P20,X,124204499,124205806
HSPA8P7,X,114774828,114776775
HSPB1P2,X,49233956,49234501
HTATSF1,X,136497079,136512346
HTR2C,X,114584078,114910061
HUWE1,X,53532096,53686752
IDH3G,X,153785766,153794512
IDS,X,149476988,149521096
IDSP1,X,149525001,149526043
IGBP1,X,70133447,70166324
IGBP1-AS1,X,70163842,70165206
IGBP1-AS2,X,70148582,70149654
IGSF1,X,131273506,131578899
IKBKG,X,154541199,154565046
IKBKGP1,X,154639978,154648275
IL13RA1,X,118727133,118794535
IL13RA2,X,115003975,115019977
IL1RAPL1,X,28587446,29956718
IL1RAPL2,X,104566199,105767829
IL2RG,X,71107404,71112108
IMPDH1P2,X,40359183,40360726
IMPDH1P4,X,43278125,43279658
INE1,X,47204921,47205865
INE2,X,15785716,15787589
INGX,X,71492083,71492928
INTS6L,X,135520659,135582510
INTS6L-AS1,X,135519878,135521688
IPO7P1,X,51921864,51922499
IQSEC2,X,53225828,53321350
IRAK1,X,154010506,154019902
IRS4,X,108719946,108736563
IRS4-AS1,X,108736009,108739718
ITGB1BP2,X,71301750,71305371
ITIH6,X,54748918,54798255
ITM2A,X,79360384,79367667
ITPK1P1,X,47156638,47158199
JADE3,X,46912276,47061242
JPX,X,73943934,74070423
KANTR,X,53094142,53170914
KAT7P1,X,95973328,95974315
KCNE5,X,109623700,109625172
KCTD9P2,X,105405647,105407039
KDM5C,X,53176277,53225422
KDM5C-IT1,X,53212408,53214679
KDM6A,X,44873188,45112779
KIAA1210,X,119078635,119150579
KIF4A,X,70290104,70420886
KIF4CP,X,79323446,79325217
KLF8,X,56232356,56291531
KLHL13,X,117897813,118117340
KLHL15,X,23983716,24027186
KLHL34,X,21654690,21658330
KLHL4,X,87517409,87670050
KPNA4P1,X,64305047,64306733
KPNB1P1,X,97975878,97978641
KRBOX4,X,46447292,46497422
KRT18P11,X,92459670,92460952
KRT18P44,X,128714506,128715790
KRT18P48,X,153604497,153605348
KRT18P49,X,107428630,107429461
KRT18P68,X,45983365,45984364
KRT8P14,X,45632292,45633733
KRT8P17,X,57984686,57986133
KRT8P27,X,64623117,64624573
KRT8P6,X,138487665,138488871
L1CAM,X,153861514,153886173
L1CAM-AS1,X,153879166,153888990
LAGE3,X,154477775,154479281
LAMP2,X,120426148,120469365
LANCL3,X,37571569,37684463
LARP1BP3,X,134204353,134205916
LAS1L,X,65438549,65534810
LDHBP2,X,76334841,76335845
LDOC1,X,141111605,141177129
LHFPL1,X,112630648,112680054
LINC00269,X,69179553,69209924
LINC00629,X,134549747,134560401
LINC00630,X,102720701,102997186
LINC00632,X,140709562,140793215
LINC00850,X,149825708,149879799
LINC00891,X,71697015,71706455
LINC00892,X,136639531,136642546
LINC01186,X,46256759,46327716
LINC01201,X,130981590,131067468
LINC01203,X,13333952,13403035
LINC01204,X,45505373,45632121
LINC01278,X,63222993,63561095
LINC01281,X,39304956,39327423
LINC01282,X,39367285,39391807
LINC01283,X,39401252,39434824
LINC01284,X,51079060,51396884
LINC01285,X,118839538,118919669
LINC01456,X,17884619,18104791
LINC01496,X,51498490,51511203
LINC01545,X,46886710,46912738
LINC01546,X,3271504,3291550
LINC01560,X,47483571,47484823
LINC02154,X,13266032,13308637
LINC02243,X,134949458,134959600
LINC02601,X,41275626,41277443
LINC02927,X,150875735,150920938
LINC02931,X,137412444,137569203
LINC03053,X,40006365,40012201
LINC03070,X,5653418,5726388
LINC03077,X,98450688,99071363
LINC03098,X,119291529,119335610
LINC03099,X,40262540,40399092
LINC03113,X,8487165,8504564
LINC03114,X,8897642,8927153
LONRF3,X,118974614,119022925
LPAR4,X,78747709,78758714
LRCH2,X,115110616,115234096
LUZP4,X,115289715,115307563
MAGEA1,X,153179284,153183880
MAGEA10,X,152133310,152138578
MAGEA11,X,149688228,149717268
MAGEA12,X,152733757,152737669
MAGEA2,X,152749863,152753884
MAGEA2B,X,152714586,152718607
MAGEA3,X,152698767,152702347
MAGEA3-DT,X,152574677,152698700
MAGEA4,X,151912495,151925171
MAGEA4-AS1,X,151904425,151919584
MAGEA5P,X,152114599,152115540
MAGEA6,X,152766136,152769716
MAGEA6-DT,X,152769764,152792268
MAGEA7P,X,149808214,149809155
MAGEA8,X,149881141,149885835
MAGEA8-AS1,X,149876186,149897038
MAGEA9,X,149781930,149787737
MAGEA9B,X,149581653,149587459
MAGEB1,X,30243715,30252040
MAGEB10,X,27807990,27823014
MAGEB16,X,35798342,35803772
MAGEB17,X,16167481,16171464
MAGEB17-AS1,X,16152941,16170869
MAGEB18,X,26138343,26140736
MAGEB2,X,30215563,30220089
MAGEB3,X,30230657,30237495
MAGEB4,X,30242000,30244187
MAGEB5,X,26216169,26218270
MAGEB6,X,26192440,26195646
MAGEC1,X,141903894,141909374
MAGEC2,X,142202342,142205290
MAGEC3,X,141838316,141897832
MAGED1,X,51803007,51902354
MAGED2,X,54807599,54816015
MAGED4,X,52184876,52192268
MAGED4B,X,52061827,52069219
MAGEE1,X,76427710,76431342
MAGEE2,X,75782987,75785254
MAGEH1,X,55452127,55453566
MAGIX,X,49162564,49168774
MAGT1,X,77825747,77899271
MAMLD1,X,150361422,150514178
MAOA,X,43654907,43746817
MAOB,X,43766610,43882450
MAP2K4P1,X,73524961,73526155
MAP3K15,X,19360056,19515508
MAP7D2,X,20006713,20116907
MAP7D3,X,136213220,136256482
MATR3P1,X,72660470,72660719
MBNL3,X,132369320,132489968
MBTPS2,X,21839617,21885423
MCF2,X,139581770,139708216
MCRIP2P1,X,131795657,131796167
MCTS1,X,120594010,120621159
MDH1P1,X,57766320,57767292
MDM4P1,X,17933349,17934823
MECP2,X,154021573,154137103
MED12,X,71118543,71144103
MED14,X,40648305,40735858
